"datetime","Temperature","Humidity","Dew","Precipitation","Wind Speed","Wind Direction","Pressure","Solar Radiation","Solar Energy","UV Index"
2023-07-01,"28.3","74.34","23.3","0","2.9","62.8","1001","0","0","0"
2023-07-01 01:00:00,"27.5","76.5","23","0","3.2","65.7","1000","0","0","0"
2023-07-01 02:00:00,"24.3","70.53","18.6","0","6.4","130","1001.3","0","0","0"
2023-07-01 03:00:00,"27","74.58","22.1","0","8.6","54.8","1001","0","0","0"
2023-07-01 04:00:00,"27.1","71.48","21.5","0","8.6","63.2","1001","0","0","0"
2023-07-01 05:00:00,"24.3","70.14","18.5","0","6.4","50","1001.4","0","0","0"
2023-07-01 06:00:00,"27.5","66.47","20.7","0","11.5","70.4","1002","34.2","0.1","0"
2023-07-01 07:00:00,"29.4","60.63","21","0","8.3","79.7","1002","153.5","0.6","2"
2023-07-01 08:00:00,"27.9","56.85","18.5","0","6.7","50","1001.1","428","1.5","4"
2023-07-01 09:00:00,"29.6","63.33","21.9","0","6.1","234.8","1002","517.7","1.9","5"
2023-07-01 10:00:00,"33","52.18","21.9","0","7.6","266","1002","716.2","2.6","7"
2023-07-01 11:00:00,"31.4","46.04","18.4","0","16.6","220","1000.3","878","3.2","9"
2023-07-01 12:00:00,"33.5","47.14","20.7","0","8.6","284.1","1002","861.3","3.1","9"
2023-07-01 13:00:00,"35.5","42.44","20.8","0","9.7","292.8","1001","899.9","3.2","9"
2023-07-01 14:00:00,"33.8","44.13","19.9","0","16.9","219","997.9","919","3.3","9"
2023-07-01 15:00:00,"36.1","37.18","19.2","0","9.4","285.4","1000","778.2","2.8","8"
2023-07-01 16:00:00,"36.3","36.09","18.9","0","10.4","275.3","998","616.1","2.2","6"
2023-07-01 17:00:00,"33.6","44.39","19.9","0","16.6","256","996.6","448","1.6","4"
2023-07-01 18:00:00,"35.7","36.16","18.4","0","10.8","288.2","999","234.3","0.8","2"
2023-07-01 19:00:00,"33.4","44.56","19.7","0","7.2","302.7","999","77.2","0.3","1"
2023-07-01 20:00:00,"23.4","65.71","16.7","0","0","339.5","1000","7","0","0"
2023-07-01 21:00:00,"32.4","55.31","22.3","0","3.6","11.6","1000","0","0","0"
2023-07-01 22:00:00,"30.5","60.88","22.1","0","2.9","13.4","1001","0","0","0"
2023-07-01 23:00:00,"21.4","68.29","15.4","0","0","350.5","1001","0","0","0"
2023-07-02,"29.6","66.09","22.6","0","1.4","316","1002","0","0","0"
2023-07-02 01:00:00,"28.6","69.18","22.4","0","1.1","323.6","1002","0","0","0"
2023-07-02 02:00:00,"27","67.92","20.6","0","6.6","56","1001.6","0","0","0"
2023-07-02 03:00:00,"29.2","67.63","22.6","0","1.8","123.7","1002","0","0","0"
2023-07-02 04:00:00,"28.8","67.97","22.3","0","2.2","20.7","1003","0","0","0"
2023-07-02 05:00:00,"26.4","68.45","20.1","0","13.3","56","1002","5","0","0"
2023-07-02 06:00:00,"28.4","67.47","21.8","0","8.6","96.3","1003","36.6","0.1","0"
2023-07-02 07:00:00,"31.1","56.36","21.4","0","7.2","136.7","1004","180","0.6","2"
2023-07-02 08:00:00,"28.3","63.88","20.8","0","10.1","176","1003.1","403","1.5","4"
2023-07-02 09:00:00,"31.5","55.43","21.5","0","6.5","212.5","1004","560.4","2","6"
2023-07-02 10:00:00,"34.8","45.77","21.4","0","6.1","238.9","1003","709.9","2.6","7"
2023-07-02 11:00:00,"32.2","52.3","21.2","0","10.2","219","1000.7","621","2.2","6"
2023-07-02 12:00:00,"35.2","43.68","21","0","9.4","281.8","1002","829.6","3","8"
2023-07-02 13:00:00,"37.2","38.89","20.9","0","11.2","290.4","1001","890.8","3.2","9"
2023-07-02 14:00:00,"34.2","45.06","20.6","0","23","290","997.4","900","3.2","9"
2023-07-02 15:00:00,"37.5","38.03","20.8","0","11.5","291.4","999","752.2","2.7","8"
2023-07-02 16:00:00,"37.4","38.47","20.9","0","11.2","280.3","998","628.1","2.3","6"
2023-07-02 17:00:00,"34.6","43.23","20.3","0","23.3","256","995.8","433","1.6","4"
2023-07-02 18:00:00,"36.7","40.47","21.1","0","9","280.1","998","245","0.9","2"
2023-07-02 19:00:00,"34.4","46.8","21.4","0","6.1","283.4","998","86.2","0.3","1"
2023-07-02 20:00:00,"32.1","50.33","20.4","0","9.5","230","997.2","3.1","0","0"
2023-07-02 21:00:00,"34.1","54.72","23.7","0","0","239.7","1000","0","0","0"
2023-07-02 22:00:00,"32.9","59.24","23.9","0","2.9","104.2","1000","0","0","0"
2023-07-02 23:00:00,"22.6","66.5","16.1","0","0","108","1000","0","0","0"
2023-07-03,"32.5","59.15","23.5","0","4.3","103.4","1001","0","0","0"
2023-07-03 01:00:00,"31.4","60.71","22.9","0","4.7","98","1001","0","0","0"
2023-07-03 02:00:00,"28.9","60.35","20.4","0","6.7","130","1000.3","0","0","0"
2023-07-03 03:00:00,"30.4","57.59","21.1","0","6.1","123.7","1001","0","0","0"
2023-07-03 04:00:00,"30.3","57.57","21","0","4","90.8","1002","0","0","0"
2023-07-03 05:00:00,"22.7","80.18","19.1","0","0","94.3","1001","5","0","0"
2023-07-03 06:00:00,"30.1","59.32","21.3","0","6.5","86.4","1002","30.7","0.1","0"
2023-07-03 07:00:00,"32.4","53.65","21.8","0","5.8","120.7","1002","154","0.6","2"
2023-07-03 08:00:00,"30.1","64.38","22.7","0","16.2","130","1001.2","304","1.1","3"
2023-07-03 09:00:00,"32.6","54.03","22.1","0","5.8","136.8","1003","507.5","1.8","5"
2023-07-03 10:00:00,"36.1","42.6","21.4","0","5.8","150","1002","637.3","2.3","6"
2023-07-03 11:00:00,"33.9","53.28","23.1","0","6.5","91","999.3","855","3.1","9"
2023-07-03 12:00:00,"37.4","39.67","21.4","0","7.2","225.1","1001","770.2","2.8","8"
2023-07-03 13:00:00,"39.1","35.74","21.2","0","9","235","1000","884.7","3.2","9"
2023-07-03 14:00:00,"35.2","47.94","22.5","0.078","19.9","220","996.4","897","3.2","9"
2023-07-03 15:00:00,"39","35.5","21","0","9.4","252.9","998","752.6","2.7","8"
2023-07-03 16:00:00,"38.5","34.71","20.2","0","5.4","289.9","997","594.9","2.1","6"
2023-07-03 17:00:00,"28.1","69.82","22.1","3.207","27","58","997.8","329","1.2","3"
2023-07-03 18:00:00,"37.3","37.28","20.3","0","11.9","53.6","997","220.6","0.8","2"
2023-07-03 19:00:00,"34.9","40.99","19.7","0","17.6","79.9","998","77.5","0.3","1"
2023-07-03 20:00:00,"27.2","70.81","21.5","0","19.4","130","998","5","0","0"
2023-07-03 21:00:00,"32.5","51.42","21.2","0","11.5","98","999","0","0","0"
2023-07-03 22:00:00,"30.3","58.28","21.2","0","9.4","96.8","1000","0","0","0"
2023-07-03 23:00:00,"25.3","72.4","20","0","9.8","130","999.6","0","0","0"
2023-07-04,"29.6","61.42","21.4","0","8.6","90.3","1000","0","0","0"
2023-07-04 01:00:00,"29.5","61.03","21.2","0","7.2","79.1","1000","0","0","0"
