"datetime","Temperature","Humidity","Dew","Precipitation","Wind Speed","Wind Direction","Pressure","Solar Radiation","Solar Energy","UV Index"
2023-07-01,"31","70.47","25","0.1","33.5","260","1000","0","0","0"
2023-07-01 01:00:00,"31","70.47","25","0.1","37.1","250","1000","0","0","0"
2023-07-01 02:00:00,"31","69.76","24.8","0.1","25.1","258","999.6","0","0","0"
2023-07-01 03:00:00,"30","74.62","25","0","25.9","260","999","0","0","0"
2023-07-01 04:00:00,"30","74.62","25","0","33.5","250","999","0","0","0"
2023-07-01 05:00:00,"30.2","76.07","25.5","0","27.5","264","998.9","0","0","0"
2023-07-01 06:00:00,"30","74.62","25","0","16.6","250","1000","0.9","0","0"
2023-07-01 07:00:00,"30","74.62","25","0","14.8","200","1000","50.4","0.2","1"
2023-07-01 08:00:00,"32","65.44","24.7","0.1","18.8","270","1000.7","212.6","0.8","2"
2023-07-01 09:00:00,"33","55.79","23","0.1","25.9","270","1001","387.8","1.4","4"
2023-07-01 10:00:00,"34","52.75","23","0","25.9","240","1001","525.2","1.9","5"
2023-07-01 11:00:00,"34.8","53.05","23.8","0","21.8","250","1000.9","575.2","2.1","6"
2023-07-01 12:00:00,"35","53","24","0","35.3","230","1007","744.5","2.7","7"
2023-07-01 13:00:00,"34","53","25.4","0","35.3","240","1000","706.1","2.5","7"
2023-07-01 14:00:00,"35.8","46.65","22.6","0","28","242","999.9","755","2.7","8"
2023-07-01 15:00:00,"36","47.22","23","0","25.9","240","1000","625.9","2.3","6"
2023-07-01 16:00:00,"36","47.22","23","0","29.5","240","999","567.5","2","6"
2023-07-01 17:00:00,"34.2","53.4","23.4","0","26.7","230","999.1","366.8","1.3","4"
2023-07-01 18:00:00,"34","52.75","23","0","20.5","230","1000","244.4","0.9","2"
2023-07-01 19:00:00,"32","62.7","24","0","25.9","220","1000","80.6","0.3","1"
2023-07-01 20:00:00,"31.4","71.38","25.6","0","22.9","224","1000.6","4.3","0","0"
2023-07-01 21:00:00,"31","70.47","25","0","25.9","240","1001","0","0","0"
2023-07-01 22:00:00,"31","70.47","25","0","18.4","240","1002","0","0","0"
2023-07-01 23:00:00,"31","72.32","25.4","0","23.2","230","1002.2","0","0","0"
2023-07-02,"31","70.47","25","0.1","18.4","260","1002","0","0","0"
