"datetime","Temperature","Humidity","Dew","Precipitation","Wind Speed","Wind Direction","Pressure","Solar Radiation","Solar Energy","UV Index"
2023-07-01,"29","67.29","22.3","0","11","69","1000","0","0","0"
2023-07-01 01:00:00,"28","71.31","22.3","0","17.7","31","1000","0","0","0"
2023-07-01 02:00:00,"28.9","80.35","25.2","0","4.6","87","999.6","0","0","0"
2023-07-01 03:00:00,"28","71.03","22.2","0","10.8","106","999.1","0","0","0"
2023-07-01 04:00:00,"28","71.03","22.2","0","7.3","80","1000","0","0","0"
2023-07-01 05:00:00,"28.8","80.79","25.2","0","4.3","88","999.6","0","0","0"
2023-07-01 06:00:00,"28.8","82.97","25.7","0","4.9","87","999.1","21.9","0.1","0"
2023-07-01 07:00:00,"28","71.04","22.3","0","14.4","112","1000.1","117.7","0.4","1"
2023-07-01 08:00:00,"30.5","77.58","26.1","0","8.6","132","1000.5","228.7","0.8","2"
2023-07-01 09:00:00,"31","71.29","25.1","0","17.9","142","1001","470.7","1.7","5"
2023-07-01 10:00:00,"32.9","66.82","26","0","12.2","134","1000.1","550.1","2","6"
2023-07-01 11:00:00,"33.5","64.12","25.8","0","9","136","1000.6","816.9","2.9","8"
2023-07-01 12:00:00,"34.9","54.03","24.2","0","17.8","182","1001","802.2","2.9","8"
2023-07-01 13:00:00,"35.8","51.31","24.2","0","14","200","1000.1","887","3.2","9"
2023-07-01 14:00:00,"34.7","55.64","24.5","0","1.5","250","999.2","858.1","3.1","9"
2023-07-01 15:00:00,"35.1","55.41","24.9","0","1.8","30","998.1","756.6","2.7","8"
2023-07-01 16:00:00,"35.1","55.43","24.9","0","1.5","100","997.2","573.2","2.1","6"
2023-07-01 17:00:00,"34.6","59.02","25.4","0","1.5","174","998","406.7","1.5","4"
2023-07-01 18:00:00,"34","56.92","24.2","0","10.7","180","998.1","211.7","0.8","2"
2023-07-01 19:00:00,"33.9","62.85","25.9","0","0.9","203","997.2","58.8","0.2","1"
2023-07-01 20:00:00,"32.9","64.42","25.3","0","1.1","210","998.3","0.5","0","0"
2023-07-01 21:00:00,"32","67.61","25.2","0","10.7","210","1000.1","0","0","0"
2023-07-01 22:00:00,"31","71.57","25.2","0","10.7","210","1001","0","0","0"
2023-07-01 23:00:00,"31.9","67.06","25.1","0","0.7","225","1000.9","0","0","0"
2023-07-02,"31","70.59","25.1","0","1.2","234","1001","0","0","0"
2023-07-02 01:00:00,"30.9","70.58","25","0","0.7","302","1000.2","0","0","0"
2023-07-02 02:00:00,"30","71.69","24.4","0","0","216.2","1000.8","0","0","0"
2023-07-02 03:00:00,"29.9","70.8","24.1","0","0.5","215","1000.1","0","0","0"
2023-07-02 04:00:00,"29.9","70.8","24.1","0","1.1","330","1000.1","0","0","0"
2023-07-02 05:00:00,"28.9","74.99","24.1","0","0.7","321","1001.4","0","0","0"
2023-07-02 06:00:00,"28.9","74.97","24.1","0","0.9","360","1001.1","32.1","0.1","0"
2023-07-02 07:00:00,"29.1","75.06","24.2","0","9","270","1002.1","139","0.5","1"
2023-07-02 08:00:00,"32.3","61.9","24.1","0","1.1","300","1001.7","277.6","1","3"
2023-07-02 09:00:00,"32","63.94","24.3","0","0.6","359","1002.1","441.6","1.6","4"
2023-07-02 10:00:00,"33.9","57.12","24.2","0","0.5","357","1002","674.9","2.4","7"
2023-07-02 11:00:00,"35.5","52.67","24.3","0","0","0","1001.4","808.2","2.9","8"
2023-07-02 12:00:00,"35.9","50.93","24.1","0","7.6","25","1001","835.9","3","8"
2023-07-02 13:00:00,"35.9","51.13","24.2","0","12.6","70","1001","765.9","2.8","8"
2023-07-02 14:00:00,"37","44.58","23","0","4.2","195","998.9","720.8","2.6","7"
2023-07-02 15:00:00,"37.9","42.92","23.2","0","5","177","998.1","672.8","2.4","7"
2023-07-02 16:00:00,"37.9","42.87","23.1","0","5.1","178","998.1","550.3","2","6"
2023-07-02 17:00:00,"37.9","41.53","22.6","0","8.6","294","997.8","396.2","1.4","4"
2023-07-02 18:00:00,"36","56.95","26.1","0","17.7","175","998.1","201","0.7","2"
2023-07-02 19:00:00,"36.8","43.7","22.5","0","5","261","997.1","57.2","0.2","1"
2023-07-02 20:00:00,"35.8","48.71","23.4","0","1.8","191","997.7","0.4","0","0"
2023-07-02 21:00:00,"33.9","60.64","25.2","0","10.9","152","999.1","0","0","0"
2023-07-02 22:00:00,"34.8","54.04","24.2","0","1.5","170","999.1","0","0","0"
2023-07-02 23:00:00,"33.4","59.54","24.4","0","1.8","180","999.4","0","0","0"
2023-07-03,"32","67.61","25.2","0","10.4","174","1000.1","0","0","0"
2023-07-03 01:00:00,"32.9","63.4","25.1","0","1.4","164","999.1","0","0","0"
