"datetime","Temperature","Humidity","Dew","Precipitation","Wind Speed","Wind Direction","Pressure","Solar Radiation","Solar Energy","UV Index"
2023-07-01,"30.1","60.79","21.7","0","0.7","237.4","1000","0","0","0"
2023-07-01 01:00:00,"29","62.05","21","0","11.2","310","1001","0","0","0"
2023-07-01 02:00:00,"28","66.16","21.1","0","10.6","310","1001","0","0","0"
2023-07-01 03:00:00,"28","65.76","21","0","11.2","310","1001","0","0","0"
2023-07-01 04:00:00,"28","65.76","21","0","7.6","50","1001","0","0","0"
2023-07-01 05:00:00,"27","78.85","23","0","10.8","45","1001.9","0","0","0"
2023-07-01 06:00:00,"27","78.77","23","0","11.2","50","1002","26.4","0.1","0"
2023-07-01 07:00:00,"28","69.91","22","0.3","11.2","50","1003","124.2","0.4","1"
2023-07-01 08:00:00,"28.9","66.36","22","0.1","14.2","45","1002.9","232.9","0.8","2"
2023-07-01 09:00:00,"30","62.27","22","0","14.8","310","1003","481.4","1.7","5"
2023-07-01 10:00:00,"31","58.8","22","0","14.8","50","1003","681","2.5","7"
2023-07-01 11:00:00,"33.9","50.05","22","0","14.2","315","1002.9","860.6","3.1","9"
2023-07-01 12:00:00,"35","46.96","22","0","11.2","90","1002","847.7","3.1","8"
2023-07-01 13:00:00,"36","44.43","22","0","14.8","50","1001","924.9","3.3","9"
2023-07-01 14:00:00,"36.9","42.35","22","0","10.8","50","999.9","901.2","3.2","9"
2023-07-01 15:00:00,"38","39.83","22","0","14.8","50","999","793.8","2.9","8"
2023-07-01 16:00:00,"38","37.47","21","0","18.4","50","998","642.8","2.3","6"
2023-07-01 17:00:00,"36","47.42","23.1","0","17.6","126","995.6","333.8","1.2","3"
2023-07-01 18:00:00,"36","50.15","24","0","22.3","50","998","250.5","0.9","3"
2023-07-01 19:00:00,"34","52.75","23","0","18.4","50","998","95.2","0.3","1"
2023-07-01 20:00:00,"34.1","61.67","25.7","0","3.6","50","996.2","5.5","0","0"
2023-07-01 21:00:00,"33","59.26","24","0","11.2","360","1000","0","0","0"
2023-07-01 22:00:00,"32","62.7","24","0","14.8","310","1001","0","0","0"
2023-07-01 23:00:00,"31","66.54","24","0","10.6","310","1000.9","0","0","0"
2023-07-02,"31.2","61.03","22.8","0","1.4","222.9","1001","0","0","0"
2023-07-02 01:00:00,"30","70.28","24","0","11.2","310","1001","0","0","0"
2023-07-02 02:00:00,"30","70.66","24","0","10.6","310","1001.8","0","0","0"
2023-07-02 03:00:00,"29","70.1","23","0","3.6","263.7","1001","0","0","0"
2023-07-02 04:00:00,"29","74.46","24","0","14.8","310","1002","0","0","0"
2023-07-02 05:00:00,"29","74.63","24","0","10.6","360","1001.9","0","0","0"
2023-07-02 06:00:00,"29","70.1","23","0","11.2","310","1003","28.3","0.1","0"
2023-07-02 07:00:00,"30.8","60.21","22.2","0","3.2","13.7","1003","164.7","0.6","2"
2023-07-02 08:00:00,"30.6","71.67","24.9","0","3.6","50","1001.9","352.4","1.3","4"
2023-07-02 09:00:00,"31","62.49","23","0","14.8","50","1004","545.1","2","5"
2023-07-02 10:00:00,"32","62.7","24","0","14.8","50","1004","717.5","2.6","7"
2023-07-02 11:00:00,"34","56.34","24.1","0","14.2","50","1002.9","823.2","3","8"
2023-07-02 12:00:00,"35","53","24","0","14.8","360","1002","846.1","3","8"
2023-07-02 13:00:00,"37","47.48","24","0","14.8","310","1001","896.3","3.2","9"
2023-07-02 14:00:00,"37","47.78","24.1","0","14.2","50","999.9","896.2","3.2","9"
2023-07-02 15:00:00,"38","44.96","24","0","14.8","50","999","801.1","2.9","8"
2023-07-02 16:00:00,"39","40.1","23","0","14.8","50","998","652.3","2.3","7"
2023-07-02 17:00:00,"39","38.09","22.1","0","17.6","45","996.9","469.8","1.7","5"
2023-07-02 18:00:00,"38","44.96","24","0","14.8","50","997","283.7","1","3"
2023-07-02 19:00:00,"36","47.22","23","0","14.8","50","998","103.6","0.4","1"
2023-07-02 20:00:00,"35","53.22","24.1","0","10.8","2","997.9","6.2","0","0"
2023-07-02 21:00:00,"33","62.92","25","0","11.2","360","999","0","0","0"
2023-07-02 22:00:00,"33","62.92","25","0","14.8","50","1000","0","0","0"
2023-07-02 23:00:00,"32","62.92","24.1","0","14","50","999.9","0","0","0"
2023-07-03,"31","66.37","24","0","11.2","50","1000","0","0","0"
2023-07-03 01:00:00,"31","66.37","24","0","11.2","50","1000","0","0","0"
2023-07-03 02:00:00,"31","70.84","25","0","7.2","50","999.9","0","0","0"
2023-07-03 03:00:00,"31","70.47","25","0","7.6","50","1000","0","0","0"
2023-07-03 04:00:00,"31","70.47","25","0","7.6","50","1000","0","0","0"
2023-07-03 05:00:00,"30.9","67.04","24","0","7.2","310","1000.9","0","0","0"
2023-07-03 06:00:00,"30","70.28","24","0","14.8","310","1001","28.1","0.1","0"
2023-07-03 07:00:00,"30.8","67.13","24","0","2.5","290.6","1002","161.7","0.6","2"
2023-07-03 08:00:00,"31.9","66.97","25","0","10.6","50","1001.9","350.4","1.3","4"
2023-07-03 09:00:00,"33","62.92","25","0","11.2","360","1002","541.3","1.9","5"
2023-07-03 10:00:00,"34","59.49","25","0","11.2","50","1002","699.2","2.5","7"
2023-07-03 11:00:00,"36","53.49","25.1","0","14.2","358","1000.9","812.9","2.9","8"
2023-07-03 12:00:00,"37","47.48","24","0","18.4","50","1001","878.5","3.2","9"
2023-07-03 13:00:00,"38","47.74","25","0","18.4","50","1000","937.3","3.4","9"
2023-07-03 14:00:00,"39","45.38","25","0","17.8","54","997.8","891.7","3.2","9"
2023-07-03 15:00:00,"39","42.6","24","0","22.3","50","997","799.1","2.9","8"
2023-07-03 16:00:00,"40","45.48","26","0","22.3","50","996","661.6","2.4","7"
2023-07-03 17:00:00,"39","43.05","24.1","0","21.8","50","995.9","476.4","1.7","5"
2023-07-03 18:00:00,"38","44.96","24","0","22.3","50","996","241.4","0.9","2"
2023-07-03 19:00:00,"36","44.43","22","0","18.4","50","996","99.3","0.4","1"
2023-07-03 20:00:00,"34.9","44.6","21.1","0","17.6","50","996.9","6.1","0","0"
2023-07-03 21:00:00,"33","55.79","23","0","18.4","310","998","0","0","0"
