"datetime","Temperature","Humidity","Dew","Precipitation","Wind Speed","Wind Direction","Pressure","Solar Radiation","Solar Energy","UV Index"
2023-07-01,"20.8","74.01","16","0","4.7","54.2","1005","0","0","0"
2023-07-01 01:00:00,"18.8","79.6","15.2","0","4.7","52.9","1004","0","0","0"
2023-07-01 02:00:00,"23","79.69","19.3","0","0","56.9","1005","0","0","0"
2023-07-01 03:00:00,"17.7","86.95","15.5","0.3","5","52.3","1006","0","0","0"
2023-07-01 04:00:00,"17.2","86.34","14.9","0.1","6.5","48.1","1005","0","0","0"
2023-07-01 05:00:00,"22","83.11","19","0","0","53.3","1005","0","0","0"
2023-07-01 06:00:00,"18.6","76.55","14.4","0","3.2","43.1","1006","35.5","0.1","0"
2023-07-01 07:00:00,"21.3","71.77","16","0","4.3","42.8","1006","187.3","0.7","2"
2023-07-01 08:00:00,"25","72.9","19.8","0","0","84.8","1006","397.8","1.4","4"
2023-07-01 09:00:00,"18.1","59.54","10.1","0","0","232.3","1006","602.4","2.2","6"
2023-07-01 10:00:00,"18.1","59.54","10.1","0","0","230","1005","704.3","2.5","7"
2023-07-01 11:00:00,"30","48.63","18","0","0","130","1005","739","2.7","7"
2023-07-01 12:00:00,"20.1","56.17","11.1","0","0","225.6","1005","869.8","3.1","9"
2023-07-01 13:00:00,"28.4","55.01","18.5","0","4","221.4","1005","790.3","2.8","8"
2023-07-01 14:00:00,"33.5","39.38","17.9","0","5.4","180","1004","560.5","2","6"
2023-07-01 15:00:00,"21.1","56.42","12.1","0","0","232.6","1003","499.2","1.8","5"
2023-07-01 16:00:00,"21.1","56.42","12.1","0","0","256.8","1002","530.8","1.9","5"
2023-07-01 17:00:00,"34","42.59","19.5","0","0","130","1003","421.8","1.5","4"
2023-07-01 18:00:00,"28.2","56.71","18.8","0.1","1.4","267.1","1003","194.2","0.7","2"
2023-07-01 19:00:00,"26.5","58.84","17.8","0","2.5","206.6","1003","64.8","0.2","1"
2023-07-01 20:00:00,"28","61.09","19.8","0","0","144.4","1004","3.1","0","0"
2023-07-01 21:00:00,"26.6","64.26","19.3","0","2.5","81.1","1005","0","0","0"
2023-07-01 22:00:00,"24.9","67.61","18.5","0","1.8","49","1005","0","0","0"
2023-07-01 23:00:00,"25","69.37","19","0","0","49.6","1006","0","0","0"
2023-07-02,"22.7","72.94","17.6","0","4","49.9","1006","0","0","0"
2023-07-02 01:00:00,"19","84.34","16.3","0","4","47.7","1006","0","0","0"
2023-07-02 02:00:00,"24","71.82","18.6","0","0","130","1006","0","0","0"
2023-07-02 03:00:00,"18.2","79","14.5","0","5.8","37.6","1006","0","0","0"
2023-07-02 04:00:00,"17.8","79.46","14.2","0","9.7","43.3","1008","0","0","0"
2023-07-02 05:00:00,"23","75.81","18.5","0","0","130","1007","0","0","0"
2023-07-02 06:00:00,"18.7","76.07","14.4","0","5.4","43.5","1007","43.9","0.2","0"
2023-07-02 07:00:00,"22.2","74.25","17.4","0","4.3","42.6","1007","198.8","0.7","2"
2023-07-02 08:00:00,"27","57.16","17.9","0","0","130","1007","409","1.5","4"
2023-07-02 09:00:00,"18.1","59.54","10.1","0","0","217.1","1007","606.3","2.2","6"
2023-07-02 10:00:00,"20.1","56.17","11.1","0","0","227.1","1007","771.3","2.8","8"
2023-07-02 11:00:00,"32","47.95","19.6","0","3.6","180","1006","900.2","3.2","9"
2023-07-02 12:00:00,"22.1","49.68","11.1","0","0","231","1006","825.3","3","8"
2023-07-02 13:00:00,"23.1","46.75","11.1","0","0","238.6","1005","876","3.2","9"
2023-07-02 14:00:00,"34","47.01","21.1","0","3.6","180","1004","849.6","3.1","8"
2023-07-02 15:00:00,"24.1","44.02","11.1","0","0","226.2","1002","718.7","2.6","7"
2023-07-02 16:00:00,"24.1","44.02","11.1","0","0","231.1","1002","598.7","2.2","6"
2023-07-02 17:00:00,"34","47.01","21.1","0","0","130","1002","447.5","1.6","4"
